,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
111,BSA,100,2,0.45,1.0,1137.4049992169998,20433,5.285999774932861,False,51,100,0.2
112,MOEA-QR-BSA,100,2,0.45,1.0,787.6547197530299,19881,5.307000160217285,False,51,100,0.2
113,BSA,100,2,0.45,1.0,787.6547197530299,19881,5.511000156402588,False,51,100,0.2
114,MOEA-QR-BSA,100,2,0.45,1.0,468.47666635222527,19743,6.988999843597412,False,51,100,0.2
115,BSA,100,2,0.45,1.0,468.47666635222527,19743,6.802000045776367,False,51,100,0.2
116,MOEA-QR-BSA,100,2,0.45,1.0,846.0709401510703,19449,5.206999778747559,False,51,100,0.2
117,BSA,100,2,0.45,1.0,846.0709401510703,19449,5.164000034332275,False,51,100,0.2
118,MOEA-QR-BSA,100,2,0.45,1.0,977.4086758680189,20256,5.322999954223633,False,51,100,0.2
119,BSA,100,2,0.45,1.0,977.4086758680189,20256,5.304999828338623,False,51,100,0.2
120,MOEA-QR-BSA,100,2,0.1,0.4,5.719327290804343,20535,5.211999893188477,False,51,100,0.2
121,BSA,100,2,0.1,0.4,5.719327290804343,20535,5.238999843597412,False,51,100,0.2
122,MOEA-QR-BSA,100,2,0.1,0.4,107.6976371065473,19620,5.2729997634887695,False,51,100,0.2
123,BSA,100,2,0.1,0.4,107.6976371065473,19620,5.257999897003174,False,51,100,0.2
124,MOEA-QR-BSA,100,2,0.1,0.4,343.7318533772205,21729,5.205999851226807,False,51,100,0.2
125,BSA,100,2,0.1,0.4,343.7318533772205,21729,5.211999893188477,False,51,100,0.2
126,MOEA-QR-BSA,100,2,0.1,0.4,183.8692494490162,20739,5.2210001945495605,False,51,100,0.2
127,BSA,100,2,0.1,0.4,183.8692494490162,20739,5.184999942779541,False,51,100,0.2
128,MOEA-QR-BSA,100,2,0.1,0.4,339.81834206336185,20064,5.1579999923706055,False,51,100,0.2
129,BSA,100,2,0.1,0.4,339.81834206336185,20064,5.178999900817871,False,51,100,0.2
130,MOEA-QR-BSA,100,2,0.1,0.4,119.14983230215512,20148,5.242000102996826,False,51,100,0.2
131,BSA,100,2,0.1,0.4,119.14983230215512,20148,5.209000110626221,False,51,100,0.2
132,MOEA-QR-BSA,100,2,0.1,0.4,8.441838443635264,20553,5.245999813079834,False,51,100,0.2
133,BSA,100,2,0.1,0.4,8.441838443635264,20553,5.238999843597412,False,51,100,0.2
134,MOEA-QR-BSA,100,2,0.1,0.4,17.72465400788078,20571,5.183000087738037,False,51,100,0.2
135,BSA,100,2,0.1,0.4,17.72465400788078,20571,5.202000141143799,False,51,100,0.2
