,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
98,MOEA-QR-BSA,30,2,0.45,0.0,498.3888557729189,15085,1.4759999513626099,True,17,100,0.2
99,BSA,30,2,0.45,0.0,498.3888557729189,15085,1.4819999933242798,True,17,100,0.2
100,BAB,30,2,0.45,0.0,525.1773980233452,93815,0.17100000381469727,True,17,100,0.2
101,MOEA-QR-BAB,30,2,0.45,0.0,525.1773980233452,723288,0.7419999837875366,True,17,100,0.2
102,MOEA-QR-BSA,30,2,0.45,0.0,525.1773980233451,19124,1.503000020980835,True,17,100,0.2
103,BSA,30,2,0.45,0.0,525.1773980233451,19124,1.5360000133514404,True,17,100,0.2
104,BAB,30,2,0.45,0.0,762.634056994053,263943,0.5230000019073486,True,17,100,0.2
105,MOEA-QR-BAB,30,2,0.45,0.0,762.634056994053,728758,0.7580000162124634,True,17,100,0.2
106,MOEA-QR-BSA,30,2,0.45,0.0,762.6340569940531,16534,1.5080000162124634,True,17,100,0.2
107,BSA,30,2,0.45,0.0,762.6340569940531,16534,1.5069999694824219,True,17,100,0.2
108,BAB,30,2,0.45,0.0,979.8222246511125,22562,0.03999999910593033,True,17,100,0.2
109,MOEA-QR-BAB,30,2,0.45,0.0,979.8222246511125,787589,0.8399999737739563,True,17,100,0.2
110,MOEA-QR-BSA,30,2,0.45,0.0,979.8222246511122,16450,1.4850000143051147,True,17,100,0.2
111,BSA,30,2,0.45,0.0,979.8222246511122,16450,1.4830000400543213,True,17,100,0.2
112,BAB,30,2,0.45,0.0,638.6551358087744,119803,0.23199999332427979,True,17,100,0.2
113,MOEA-QR-BAB,30,2,0.45,0.0,638.6551358087744,2233680,2.928999900817871,True,17,100,0.2
114,MOEA-QR-BSA,30,2,0.45,0.0,638.6551358087742,14007,1.4869999885559082,True,17,100,0.2
115,BSA,30,2,0.45,0.0,638.6551358087742,14007,1.4819999933242798,True,17,100,0.2
116,BAB,30,2,0.45,0.0,160.32967510726127,100496,0.18000000715255737,True,17,100,0.2
117,MOEA-QR-BAB,30,2,0.45,0.0,160.32967510726127,886737,0.9909999966621399,True,17,100,0.2
118,MOEA-QR-BSA,30,2,0.45,0.0,160.32967510726112,17080,1.4709999561309814,True,17,100,0.2
119,BSA,30,2,0.45,0.0,160.32967510726112,17080,1.472000002861023,True,17,100,0.2
120,BAB,30,2,0.1,1.0,2.4049360320441417,495331,0.9950000047683716,True,17,100,0.2
121,MOEA-QR-BAB,30,2,0.1,1.0,2.4049360320441417,1702864,2.309999942779541,True,17,100,0.2
