,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
111,MOEA-QR-BAB,25,3,0.1,0.0,44.03102573243273,117353,0.15600000321865082,True,15,100,0.2
112,MOEA-QR-BSA,25,3,0.1,0.0,44.031025732432624,90780,9.779999732971191,True,15,100,0.2
113,BSA,25,3,0.1,0.0,44.031025732432624,90780,9.845000267028809,True,15,100,0.2
114,EXACT,25,3,0.1,0.0,44.03102573243283,0,11.973999977111816,True,15,100,0.2
115,BAB,25,3,0.1,0.0,92.78088517413545,40738,0.10000000149011612,True,15,100,0.2
116,MOEA-QR-BAB,25,3,0.1,0.0,92.78088517413545,191369,0.3240000009536743,True,15,100,0.2
117,MOEA-QR-BSA,25,3,0.1,0.0,92.78088517413536,103515,9.87399959564209,True,15,100,0.2
118,BSA,25,3,0.1,0.0,92.78088517413536,103515,9.97599983215332,True,15,100,0.2
119,EXACT,25,3,0.1,0.0,92.78088517413548,0,11.29699993133545,True,15,100,0.2
120,BAB,25,3,0.1,0.0,38.4929957340711,72013,0.15000000596046448,True,15,100,0.2
121,MOEA-QR-BAB,25,3,0.1,0.0,38.4929957340711,167118,0.27000001072883606,True,15,100,0.2
122,MOEA-QR-BSA,25,3,0.1,0.0,43.34252710599417,84285,8.984000205993652,True,15,100,0.2
123,BSA,25,3,0.1,0.0,43.34252710599417,84285,8.942999839782715,True,15,100,0.2
124,EXACT,25,3,0.1,0.0,38.492995734071116,0,11.243000030517578,True,15,100,0.2
125,BAB,25,3,0.1,0.0,8.008558301746895,31609,0.08299999684095383,True,15,100,0.2
126,MOEA-QR-BAB,25,3,0.1,0.0,8.008558301746895,148202,0.23199999332427979,True,15,100,0.2
127,MOEA-QR-BSA,25,3,0.1,0.0,8.008558301746907,98040,9.104000091552734,True,15,100,0.2
128,BSA,25,3,0.1,0.0,8.008558301746907,98040,9.079000473022461,True,15,100,0.2
129,EXACT,25,3,0.1,0.0,8.008558301746918,0,11.21399974822998,True,15,100,0.2
130,BAB,25,3,0.1,0.0,10.481413669547262,28808,0.061000000685453415,True,15,100,0.2
131,MOEA-QR-BAB,25,3,0.1,0.0,10.481413669547262,173214,0.3160000145435333,True,15,100,0.2
132,MOEA-QR-BSA,25,3,0.1,0.0,10.481413669547276,47100,8.866999626159668,True,15,100,0.2
133,BSA,25,3,0.1,0.0,10.481413669547276,47100,8.869999885559082,True,15,100,0.2
134,EXACT,25,3,0.1,0.0,10.481413669547296,0,11.152999877929688,True,15,100,0.2
135,BAB,25,3,0.1,0.0,16.424655524439505,18733,0.05000000074505806,True,15,100,0.2
136,MOEA-QR-BAB,25,3,0.1,0.0,16.424655524439505,123960,0.19200000166893005,True,15,100,0.2
137,MOEA-QR-BSA,25,3,0.1,0.0,16.517080973230126,73200,9.067999839782715,True,15,100,0.2
138,BSA,25,3,0.1,0.0,16.517080973230126,73200,9.086999893188477,True,15,100,0.2
139,EXACT,25,3,0.1,0.0,16.4246555244396,0,11.253000259399414,True,15,100,0.2
140,BAB,25,3,0.1,0.0,9.323019684338236,37060,0.09799999743700027,True,15,100,0.2
141,MOEA-QR-BAB,25,3,0.1,0.0,9.323019684338236,124921,0.1809999942779541,True,15,100,0.2
142,MOEA-QR-BSA,25,3,0.1,0.0,9.32301968433822,55785,8.852999687194824,True,15,100,0.2
143,BSA,25,3,0.1,0.0,9.32301968433822,55785,8.857000350952148,True,15,100,0.2
144,EXACT,25,3,0.1,0.0,9.32301968433824,0,11.199000358581543,True,15,100,0.2
145,BAB,25,3,0.1,0.0,58.024010552586326,25176,0.057999998331069946,True,15,100,0.2
146,MOEA-QR-BAB,25,3,0.1,0.0,58.024010552586326,139336,0.22100000083446503,True,15,100,0.2
147,MOEA-QR-BSA,25,3,0.1,0.0,58.02401055258631,50340,8.78499984741211,True,15,100,0.2
148,BSA,25,3,0.1,0.0,58.02401055258631,50340,8.859000205993652,True,15,100,0.2
149,EXACT,25,3,0.1,0.0,58.02401055258637,0,11.355999946594238,True,15,100,0.2
150,BAB,25,3,0.1,0.0,43.57356529139697,88175,0.17800000309944153,True,15,100,0.2
151,MOEA-QR-BAB,25,3,0.1,0.0,43.57356529139697,120018,0.18799999356269836,True,15,100,0.2
152,MOEA-QR-BSA,25,3,0.1,0.0,43.57356529139689,104925,8.97599983215332,True,15,100,0.2
153,BSA,25,3,0.1,0.0,43.57356529139689,104925,8.994999885559082,True,15,100,0.2
154,EXACT,25,3,0.1,0.0,43.573565291396946,0,11.17199993133545,True,15,100,0.2
155,BAB,25,3,0.1,0.0,140.03830716771716,25557,0.0689999982714653,True,15,100,0.2
156,MOEA-QR-BAB,25,3,0.1,0.0,140.03830716771716,135095,0.20000000298023224,True,15,100,0.2
