,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
1300,FAST-LTS,1000,10,0.45,0.4,1360.6784440075014,10,0.28825400257483125,0.9999918140015432,0.09850213880842698,0.09944323912582397,False,True,506,100,0.2
1301,MOEA-I,1000,10,0.45,0.4,575833.960221929,100,0.3555940091609955,0.9701062455731818,16.606746620951743,16.645582617485637,False,True,506,100,0.2
1302,MOEA-QR,1000,10,0.45,0.4,490695.9830325262,100,2.038222074508667,0.978377843698127,15.706989657149794,15.738019541317692,False,True,506,100,0.2
1303,MMEA-I,1000,10,0.45,0.4,574761.4056859484,100,0.21619200706481934,0.9882768686979259,14.734805902614154,14.756400284675559,False,True,506,100,0.2
1304,MMEA-QR,1000,10,0.45,0.4,417961.6293740121,100,0.7765949964523315,0.9883833013423551,13.21903539139668,13.236390755605616,False,True,506,100,0.2
1305,FAST-LTS,1000,10,0.45,0.4,20664.34550229078,18,0.2911689979955554,0.9991836129345515,0.20086434181612955,0.23918799027394758,False,True,506,100,0.2
1306,MOEA-I,1000,10,0.45,0.4,429896.51998259977,100,0.35136398673057556,0.979253067766895,10.366991505341264,10.387884267663933,False,True,506,100,0.2
1307,MOEA-QR,1000,10,0.45,0.4,564935.3431506837,100,2.036953926086426,0.9462707636078301,17.36100224910443,17.391583701960542,False,True,506,100,0.2
1308,MMEA-I,1000,10,0.45,0.4,480634.28879578086,100,0.2154809981584549,0.9702508146276075,14.700384490036187,14.722698371222187,False,True,506,100,0.2
1309,MMEA-QR,1000,10,0.45,0.4,489484.8366047983,100,0.7826550006866455,0.9587678370632273,14.147457750200367,14.17736513633192,False,True,506,100,0.2
1310,FAST-LTS,1000,10,0.45,0.4,2714.56438837648,14,0.290624993853271,0.9999851944607494,0.06257030922673053,0.0650064803667497,False,True,506,100,0.2
1311,MOEA-I,1000,10,0.45,0.4,335290.7365156446,100,0.34025898575782776,0.9945058055382133,17.765182265191296,17.768538581553315,False,True,506,100,0.2
1312,MOEA-QR,1000,10,0.45,0.4,370238.9709061688,100,1.9939099550247192,0.9961327406021238,19.313333505131478,19.315615202842647,False,True,506,100,0.2
1313,MMEA-I,1000,10,0.45,0.4,449162.34551751695,100,0.2149749994277954,0.9967133813570501,20.233410818077164,20.235343734386408,False,True,506,100,0.2
1314,MMEA-QR,1000,10,0.45,0.4,387281.645032845,100,0.7745850086212158,0.9956936585100972,19.604424526682205,19.606866832569914,False,True,506,100,0.2
1315,FAST-LTS,1000,10,0.45,0.4,11894.987528174475,16,0.291245992295444,0.999331449825024,1.1272275681266868,1.1332363057255186,False,True,506,100,0.2
