,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
5441,FSA-QR,1000,10,0.1,0.0,234.21547968087765,100,48.145084381103516,0.9999979573663415,0.02599420941519242,0.02684204124508717,False,True,506,100,0.2
5442,MOEA-I,1000,10,0.1,0.0,590.8557993898906,100,0.1701900064945221,0.9989623484486018,0.3372126418615277,0.3667040953099442,False,True,506,100,0.2
5443,MOEA-QR,1000,10,0.1,0.0,245.50682353542422,100,1.9330110549926758,0.9999980397723341,0.06332417708730889,0.06363776389216405,False,True,506,100,0.2
5444,MMEA-I,1000,10,0.1,0.0,525.671355524112,100,0.03481699898838997,0.9988298362768017,0.35444600800075904,0.38885125354847394,False,True,506,100,0.2
5445,MMEA-QR,1000,10,0.1,0.0,258.1728440482662,100,0.5520219802856445,0.9999992198210228,0.054324395478033256,0.05446821758247899,False,True,506,100,0.2
5446,FAST-LTS,1000,10,0.1,0.0,3056.0530132031463,35,0.12185799796134233,0.9992553563066274,0.2815555465512228,0.3088179737048499,False,True,506,100,0.2
5447,FSA-I,1000,10,0.1,0.0,7227.286458015216,100,11.223597526550293,0.9996177811620355,0.3060170776732746,0.31833787950568626,False,True,506,100,0.2
5448,FSA-QR,1000,10,0.1,0.0,7740.773827674109,100,47.295902252197266,0.9997510701903353,0.4050724645044449,0.4112659680940178,False,True,506,100,0.2
5449,MOEA-I,1000,10,0.1,0.0,9077.747248423373,100,0.1652349978685379,0.9997591081450607,0.7869289581947179,0.789979500463646,False,True,506,100,0.2
5450,MOEA-QR,1000,10,0.1,0.0,7963.673884180103,100,1.7919089794158936,0.9997369008211169,0.5661509088962003,0.5709237390922075,False,True,506,100,0.2
5451,MMEA-I,1000,10,0.1,0.0,8158.647177852238,100,0.03411100059747696,0.9993660370942021,0.21017160671222906,0.23916016537223964,False,True,506,100,0.2
5452,MMEA-QR,1000,10,0.1,0.0,8572.783062860313,100,0.5529739856719971,0.9996597118054624,0.5709567191420117,0.5769918554170115,False,True,506,100,0.2
