algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
EXACT,15,5,0.1,0.0,0.9522642721337892,0,0.00803800020366907,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,63.81507956139635,1124,0.002905000001192093,True,10,100,0.2
BAB,15,5,0.1,0.0,63.81507956139635,1440,0.0034860000014305115,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,63.81507956139625,7161,2.1772010326385502,True,10,100,0.2
BSA,15,5,0.1,0.0,63.81507956139625,7161,2.1891720294952397,True,10,100,0.2
EXACT,15,5,0.1,0.0,63.815079561396395,0,0.008078999817371368,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,11.199643497858979,1068,0.003827000036835671,True,10,100,0.2
BAB,15,5,0.1,0.0,11.199643497858979,1542,0.003357999958097935,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,11.19964349785894,9455,2.276671886444092,True,10,100,0.2
BSA,15,5,0.1,0.0,11.19964349785894,9455,2.264202117919922,True,10,100,0.2
EXACT,15,5,0.1,0.0,11.19964349785894,0,0.007953000254929066,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,9.27131920143994,691,0.0017099999822676182,True,10,100,0.2
BAB,15,5,0.1,0.0,9.27131920143994,1380,0.002940000034868717,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,9.271319201439935,4216,2.460753917694092,True,10,100,0.2
BSA,15,5,0.1,0.0,9.271319201439935,4216,2.5854709148406982,True,10,100,0.2
EXACT,15,5,0.1,0.0,9.27131920143993,0,0.009814999997615814,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,64.53973373944831,588,0.0019150000298395753,True,10,100,0.2
BAB,15,5,0.1,0.0,64.53973373944831,1344,0.002985999919474125,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,64.53973373944818,10602,2.1878249645233154,True,10,100,0.2
BSA,15,5,0.1,0.0,64.53973373944818,10602,2.0300250053405757,True,10,100,0.2
EXACT,15,5,0.1,0.0,64.53973373944824,0,0.007410999853163958,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,5.152043838364548,816,0.0018830000190064309,True,10,100,0.2
BAB,15,5,0.1,0.0,5.152043838364548,1416,0.0029279999434947968,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,5.152043838364538,6138,2.134398937225342,True,10,100,0.2
BSA,15,5,0.1,0.0,5.152043838364538,6138,2.278104066848755,True,10,100,0.2
EXACT,15,5,0.1,0.0,5.152043838364541,0,0.0076199998147785655,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,2.3264015878615623,601,0.0015069999499246476,True,10,100,0.2
BAB,15,5,0.1,0.0,2.3264015878615623,1214,0.002148000057786703,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,2.3264015878615605,7657,2.4156808853149414,True,10,100,0.2
BSA,15,5,0.1,0.0,2.3264015878615605,7657,2.1472160816192627,True,10,100,0.2
EXACT,15,5,0.1,0.0,2.326401587861559,0,0.007548999972641469,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,43.03397398069551,586,0.0015119999879971149,True,10,100,0.2
BAB,15,5,0.1,0.0,43.03397398069551,1229,0.002271000063046813,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,43.03397398069548,11346,2.17101788520813,True,10,100,0.2
BSA,15,5,0.1,0.0,43.03397398069548,11346,2.1629650592803955,True,10,100,0.2
EXACT,15,5,0.1,0.0,43.03397398069549,0,0.00865199975669384,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,29.51532136854273,574,0.001408000010997057,True,10,100,0.2
BAB,15,5,0.1,0.0,29.51532136854273,1305,0.0028389999642968178,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,29.515321368542637,6448,2.1151530742645264,True,10,100,0.2
BSA,15,5,0.1,0.0,29.515321368542637,6448,2.0831549167633057,True,10,100,0.2
EXACT,15,5,0.1,0.0,29.515321368542715,0,0.007544000167399646,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,28.296583250346128,616,0.0016789999790489676,True,10,100,0.2
BAB,15,5,0.1,0.0,28.296583250346128,1500,0.00292599992826581,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,28.29658325034605,12865,2.206968069076538,True,10,100,0.2
BSA,15,5,0.1,0.0,28.29658325034605,12865,2.140408992767334,True,10,100,0.2
EXACT,15,5,0.1,0.0,28.29658325034607,0,0.007552000228315592,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,67.4722012014001,721,0.001998000079765916,True,10,100,0.2
BAB,15,5,0.1,0.0,67.4722012014001,1202,0.002312999917194247,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,67.4722012014001,15624,2.7522549629211426,True,10,100,0.2
BSA,15,5,0.1,0.0,67.4722012014001,15624,2.783742904663086,True,10,100,0.2
EXACT,15,5,0.1,0.0,67.47220120140005,0,0.008747000247240067,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,40.487797120763176,751,0.002224999945610761,True,10,100,0.2
BAB,15,5,0.1,0.0,40.487797120763176,1251,0.002884000074118376,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,40.48779712076309,5549,2.494127988815308,True,10,100,0.2
BSA,15,5,0.1,0.0,40.48779712076309,5549,2.4918808937072754,True,10,100,0.2
EXACT,15,5,0.1,0.0,40.487797120763204,0,0.0074579999782145015,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,27.310308297457947,574,0.0015719999792054296,True,10,100,0.2
BAB,15,5,0.1,0.0,27.310308297457947,1226,0.0021389999892562628,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,27.31030829745793,10478,2.134720087051392,True,10,100,0.2
BSA,15,5,0.1,0.0,27.31030829745793,10478,2.1325640678405757,True,10,100,0.2
EXACT,15,5,0.1,0.0,27.31030829745801,0,0.007579999975860119,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,0.17752729240103252,706,0.0019209999591112137,True,10,100,0.2
BAB,15,5,0.1,0.0,0.17752729240103252,1221,0.00229199999012053,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,0.1775272924010376,10788,2.01544189453125,True,10,100,0.2
BSA,15,5,0.1,0.0,0.1775272924010376,10788,2.3124001026153564,True,10,100,0.2
EXACT,15,5,0.1,0.0,0.1775272924010393,0,0.008046999573707579,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,17.23555132490804,1026,0.0026569999754428864,True,10,100,0.2
BAB,15,5,0.1,0.0,17.23555132490804,1267,0.0025220001116395,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,17.235551324908034,6169,2.5857770442962646,True,10,100,0.2
BSA,15,5,0.1,0.0,17.235551324908034,6169,2.834877014160156,True,10,100,0.2
EXACT,15,5,0.1,0.0,17.235551324908062,0,0.007608000189065933,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,20.808519899730637,632,0.0017689999658614395,True,10,100,0.2
BAB,15,5,0.1,0.0,20.808519899730637,1263,0.0025889999233186245,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,20.8085198997306,10447,2.6754779815673833,True,10,100,0.2
BSA,15,5,0.1,0.0,20.8085198997306,10447,2.464148998260498,True,10,100,0.2
EXACT,15,5,0.1,0.0,20.80851989973064,0,0.008305000141263008,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,54.94911498345604,773,0.0020049999002367262,True,10,100,0.2
BAB,15,5,0.1,0.0,54.94911498345604,1224,0.0024929998908191924,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,54.94911498345601,7347,2.3231630325317383,True,10,100,0.2
BSA,15,5,0.1,0.0,54.94911498345601,7347,1.937904953956604,True,10,100,0.2
EXACT,15,5,0.1,0.0,54.94911498345608,0,0.00770600000396371,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,3.885426659619614,749,0.0025080000050365925,True,10,100,0.2
BAB,15,5,0.1,0.0,3.885426659619614,1412,0.0027809999883174896,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,3.885426659619605,4991,2.031594038009644,True,10,100,0.2
BSA,15,5,0.1,0.0,3.885426659619605,4991,2.001792907714844,True,10,100,0.2
EXACT,15,5,0.1,0.0,3.8854266596196223,0,0.008663999848067759,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,23.628296803441895,700,0.00266700005158782,True,10,100,0.2
BAB,15,5,0.1,0.0,23.628296803441895,1347,0.002553999889642,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,23.628296803441888,5766,2.340035915374756,True,10,100,0.2
BSA,15,5,0.1,0.0,23.628296803441888,5766,2.648837089538574,True,10,100,0.2
EXACT,15,5,0.1,0.0,23.628296803441938,0,0.0077820001170039186,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,64.93098410926143,850,0.0021810000762343407,True,10,100,0.2
BAB,15,5,0.1,0.0,64.93098410926143,1261,0.002655999967828393,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,64.93098410926137,8680,2.197027921676636,True,10,100,0.2
BSA,15,5,0.1,0.0,64.93098410926137,8680,2.2160348892211914,True,10,100,0.2
EXACT,15,5,0.1,0.0,64.93098410926146,0,0.007643999997526406,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,0.5562371930172574,810,0.002073999959975481,True,10,100,0.2
BAB,15,5,0.1,0.0,0.5562371930172574,1233,0.0022640000097453594,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,0.5562371930172525,13516,2.871464967727661,True,10,100,0.2
BSA,15,5,0.1,0.0,0.5562371930172525,13516,2.8992679119110107,True,10,100,0.2
EXACT,15,5,0.1,0.0,0.5562371930172554,0,0.013659000396728516,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,0.922960142063208,1085,0.003513999981805682,True,10,100,0.2
BAB,15,5,0.1,0.0,0.922960142063208,1288,0.004573000129312278,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,0.9229601420632014,14384,3.0439329147338867,True,10,100,0.2
BSA,15,5,0.1,0.0,0.9229601420632014,14384,2.6215898990631104,True,10,100,0.2
EXACT,15,5,0.1,0.0,0.9229601420632022,0,0.008329000324010849,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,15.370926978379938,951,0.002378999954089523,True,10,100,0.2
BAB,15,5,0.1,0.0,15.370926978379938,1224,0.002428000094369054,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,15.3709269783799,4092,2.3449630737304688,True,10,100,0.2
BSA,15,5,0.1,0.0,15.3709269783799,4092,2.560863971710205,True,10,100,0.2
EXACT,15,5,0.1,0.0,15.370926978379975,0,0.013794999569654465,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,30.707213766275917,532,0.002185000106692314,True,10,100,0.2
BAB,15,5,0.1,0.0,30.707213766275917,1214,0.002525999909266829,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,30.707213766275906,8215,2.281578063964844,True,10,100,0.2
BSA,15,5,0.1,0.0,30.707213766275906,8215,2.2675609588623047,True,10,100,0.2
EXACT,15,5,0.1,0.0,30.707213766275917,0,0.008256999775767326,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,23.769053326998343,571,0.0017320000333711505,True,10,100,0.2
BAB,15,5,0.1,0.0,23.769053326998343,1209,0.002342999912798405,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,23.76905332699827,7936,2.5035951137542725,True,10,100,0.2
BSA,15,5,0.1,0.0,23.76905332699827,7936,2.6339290142059326,True,10,100,0.2
EXACT,15,5,0.1,0.0,23.76905332699837,0,0.0086260000243783,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,9.936486144532413,862,0.0023620000574737787,True,10,100,0.2
BAB,15,5,0.1,0.0,9.936486144532413,1213,0.002526999916881323,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,9.936486144532417,17794,2.755290031433105,True,10,100,0.2
BSA,15,5,0.1,0.0,9.936486144532417,17794,2.193567037582397,True,10,100,0.2
EXACT,15,5,0.1,0.0,9.936486144532427,0,0.007765999995172024,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,0.8472809333459087,609,0.001744000008329749,True,10,100,0.2
BAB,15,5,0.1,0.0,0.8472809333459087,1231,0.0023819999769330025,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,0.8472809333459119,9021,2.2552239894866943,True,10,100,0.2
BSA,15,5,0.1,0.0,0.8472809333459119,9021,2.537203073501587,True,10,100,0.2
EXACT,15,5,0.1,0.0,0.8472809333459164,0,0.00881099980324507,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,14.745451868087564,589,0.0017989999614655974,True,10,100,0.2
BAB,15,5,0.1,0.0,14.745451868087564,1275,0.0043219998478889465,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,14.745451868087555,16213,2.764491081237793,True,10,100,0.2
BSA,15,5,0.1,0.0,14.745451868087555,16213,2.7413909435272217,True,10,100,0.2
EXACT,15,5,0.1,0.0,14.745451868087573,0,0.008721999824047089,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,4.45206165327863,753,0.0027119999285787344,True,10,100,0.2
BAB,15,5,0.1,0.0,4.45206165327863,1416,0.004947999957948922,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,4.45206165327861,5332,2.6216208934783936,True,10,100,0.2
BSA,15,5,0.1,0.0,4.45206165327861,5332,2.8364899158477783,True,10,100,0.2
EXACT,15,5,0.1,0.0,4.4520616532786645,0,0.0108449999243021,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,8.298688800282228,896,0.003838999895378947,True,10,100,0.2
BAB,15,5,0.1,0.0,8.298688800282228,1222,0.0026869999710470442,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,8.298688800282202,12834,2.5427091121673584,True,10,100,0.2
BSA,15,5,0.1,0.0,8.298688800282202,12834,2.362024068832397,True,10,100,0.2
EXACT,15,5,0.1,0.0,8.298688800282214,0,0.008342999964952469,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,36.013534369803295,789,0.0019259999971836805,True,10,100,0.2
BAB,15,5,0.1,0.0,36.013534369803295,1491,0.0031200000084936623,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,36.01353436980323,4216,2.1624910831451416,True,10,100,0.2
BSA,15,5,0.1,0.0,36.01353436980323,4216,2.114020109176636,True,10,100,0.2
EXACT,15,5,0.1,0.0,36.01353436980325,0,0.008255000226199627,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,16.78326176071549,673,0.002104999963194132,True,10,100,0.2
BAB,15,5,0.1,0.0,16.78326176071549,1402,0.0029150000773370266,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,22.313733414274,13020,2.6553080081939697,True,10,100,0.2
BSA,15,5,0.1,0.0,22.313733414274,13020,2.5280890464782715,True,10,100,0.2
EXACT,15,5,0.1,0.0,16.783261760715476,0,0.008895999751985073,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,8.742387086380596,852,0.0024429999757558107,True,10,100,0.2
BAB,15,5,0.1,0.0,8.742387086380596,1196,0.002346999943256378,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,8.742387086380553,11625,2.4094929695129395,True,10,100,0.2
BSA,15,5,0.1,0.0,8.742387086380553,11625,2.3611650466918945,True,10,100,0.2
EXACT,15,5,0.1,0.0,8.742387086380589,0,0.008197000250220299,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,8.440239635265339,848,0.0026519999373704195,True,10,100,0.2
BAB,15,5,0.1,0.0,8.440239635265339,1436,0.003041000105440617,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,8.440239635265304,4247,2.6702721118927,True,10,100,0.2
BSA,15,5,0.1,0.0,8.440239635265304,4247,2.363821029663086,True,10,100,0.2
EXACT,15,5,0.1,0.0,8.440239635265309,0,0.0075090001337230206,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,3.564605264905067,713,0.0017109999898821115,True,10,100,0.2
BAB,15,5,0.1,0.0,3.564605264905067,1230,0.0023499999660998587,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,3.5646052649050666,9548,2.1028780937194824,True,10,100,0.2
BSA,15,5,0.1,0.0,3.5646052649050666,9548,2.408050060272217,True,10,100,0.2
EXACT,15,5,0.1,0.0,3.5646052649050715,0,0.008429000154137611,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,9.644491630831663,622,0.001969000091776252,True,10,100,0.2
BAB,15,5,0.1,0.0,9.644491630831663,1210,0.002305000089108944,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,9.644491630831656,9331,2.491281032562256,True,10,100,0.2
BSA,15,5,0.1,0.0,9.644491630831656,9331,2.2313570976257324,True,10,100,0.2
EXACT,15,5,0.1,0.0,9.644491630831679,0,0.008318999782204628,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,43.60570319986974,623,0.0018820000113919375,True,10,100,0.2
BAB,15,5,0.1,0.0,43.60570319986974,1450,0.003189000068232417,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,43.60570319986971,15438,2.6848959922790527,True,10,100,0.2
BSA,15,5,0.1,0.0,43.60570319986971,15438,2.734745979309082,True,10,100,0.2
EXACT,15,5,0.1,0.0,43.605703199869716,0,0.008104000240564345,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,51.62571696045917,795,0.0018260000506415965,True,10,100,0.2
BAB,15,5,0.1,0.0,51.62571696045917,1435,0.002829999895766377,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,51.62571696045909,10385,2.127471923828125,True,10,100,0.2
BSA,15,5,0.1,0.0,51.62571696045909,10385,2.1783430576324463,True,10,100,0.2
EXACT,15,5,0.1,0.0,51.6257169604592,0,0.00785099994391203,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,1.0633370357211118,614,0.0017930000321939585,True,10,100,0.2
BAB,15,5,0.1,0.0,1.0633370357211118,1361,0.0041760001331567756,True,10,100,0.2
