,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
54,MOEA-QR,100,3,0.1,0.0,51.014309454493635,27,0.28767699003219604,0.9991842321695674,0.8244099641832182,0.8275315496974591,False,True,52,50,0.2
55,FAST-LTS,100,3,0.1,0.0,25.869233132558232,13,0.001229999994393438,0.9996968744860611,0.5100679882836674,0.512226712497718,False,True,52,50,0.2
58,MMEA-QR,100,3,0.1,0.0,25.47188200531301,28,0.12933200597763062,0.9995798272628744,0.6076330517986471,0.6101336300749306,False,True,52,50,0.2
59,MOEA-QR,100,3,0.1,0.0,25.47188200531301,29,0.32208600640296936,0.9995798272628744,0.6076330517986495,0.6101336300749329,False,True,52,50,0.2
60,FAST-LTS,100,3,0.1,0.0,62.35450348346965,7,0.0010709999914979562,0.9988457275883508,0.27473549735541913,0.2875001499793601,False,True,52,50,0.2
63,MMEA-QR,100,3,0.1,0.0,62.35450348346964,32,0.11875399947166446,0.9988457275883508,0.2747354973554189,0.28750014997935985,False,True,52,50,0.2
64,MOEA-QR,100,3,0.1,0.0,62.35450348346959,30,0.30438899993896484,0.9988457275883508,0.2747354973554189,0.28750014997935963,False,True,52,50,0.2
65,FAST-LTS,100,3,0.1,0.0,145.8301527366323,5,0.0011389999999664724,0.9969676218460466,0.2697821018321349,0.3171484322931953,False,True,52,50,0.2
68,MMEA-QR,100,3,0.1,0.0,134.06344411841695,30,0.11661700159311295,0.9989509021612076,1.5544633745474552,1.5565491111512526,False,True,52,50,0.2
69,MOEA-QR,100,3,0.1,0.0,134.06344411841695,21,0.28786399960517883,0.9989509021612076,1.5544633745474534,1.5565491111512508,False,True,52,50,0.2
70,FAST-LTS,100,3,0.1,0.0,99.92770169934496,7,0.001161999971373007,0.9988136012925088,1.093598193584283,1.0995674606653791,False,True,52,50,0.2
73,MMEA-QR,100,3,0.1,0.0,96.60459229921128,24,0.12234000116586685,0.9996472498763744,1.3193039303572638,1.3220072129216442,False,True,52,50,0.2
74,MOEA-QR,100,3,0.1,0.0,96.60459229921123,31,0.3172439932823181,0.9996472498763744,1.319303930357265,1.3220072129216451,False,True,52,50,0.2
75,FAST-LTS,100,3,0.1,0.0,166.35215159436243,9,0.0010849999962374568,0.9990782230361576,1.0042320804084834,1.0094470394897188,False,True,52,50,0.2
78,MMEA-QR,100,3,0.1,0.0,163.32507835061946,22,0.11417099833488464,0.9989853521192752,0.9514350495322292,0.9559395360592264,False,True,52,50,0.2
79,MOEA-QR,100,3,0.1,0.0,163.32507835061946,31,0.29184800386428833,0.9989853521192756,0.951435049532232,0.9559395360592291,False,True,52,50,0.2
80,FAST-LTS,100,3,0.1,0.0,116.39702559001638,18,0.00132899999152869,0.9993960815638021,1.174603175661871,1.1789763306434184,False,True,52,50,0.2
83,MMEA-QR,100,3,0.1,0.0,112.97121622162337,27,0.11728399991989134,0.9986581259175128,0.7526220799400645,0.7638949600074161,False,True,52,50,0.2
84,MOEA-QR,100,3,0.1,0.0,112.97121622162341,31,0.3017210066318512,0.9986581259175128,0.7526220799400651,0.7638949600074166,False,True,52,50,0.2
85,FAST-LTS,100,3,0.1,0.0,797.5275860153799,6,0.001126999995904043,0.9960642460954352,2.073541698797701,2.0793426132363693,False,True,52,50,0.2
