,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio,tmp2,tmp4,tmp5,tmp6,tmp7,tmp8
1730,FAST-LTS,500,6,0.1,0.4,172.60339339220138,21,0.04369300045073032,0.9999395708277764,0.2704333482725577,0.27178820559925065,False,True,253,50,0.2,11,16,12,10.5,16,1.549999999999999
1731,FAST-LTS-MMEA-QR,500,6,0.1,0.4,515.1039382338968,24,2.2250659465789795,0.9999917921532456,0.27453394778319284,0.2747072837166464,False,True,253,50,0.2,8,30,24,12.0,30,3.1999999999999993
1732,FAST-LTS-MOEA-QR,500,6,0.1,0.4,523.2522291063826,16,8.891661643981934,0.9999754862610166,0.05456773559582003,0.05700974048227685,False,True,253,50,0.2,20,30,23,8.0,30,15.8
1733,MMEA-QR,500,6,0.1,0.4,528.8666830116348,40,2.1119909286499023,0.9999932277014836,0.10249748679908012,0.10283098530376436,False,True,253,50,0.2,20,30,22,20.0,30,11.0
1734,MOEA-QR,500,6,0.1,0.4,520.9200433804916,40,8.846575736999512,0.9999863133763296,0.03714485582080525,0.0389844701994598,False,True,253,50,0.2,20,30,27,20.0,30,5.0
1735,FAST-LTS,500,6,0.1,0.4,44.858710998865995,21,0.023672999814152718,0.9999805883717078,0.09708495447593946,0.09825315091811418,False,True,253,50,0.2,11,16,14,10.5,16,1.549999999999999
1736,FAST-LTS-MMEA-QR,500,6,0.1,0.4,132.8989335220851,17,2.34143590927124,0.9999918130851122,0.028260887848207208,0.029726075418619213,False,True,253,50,0.2,8,30,17,8.5,30,2.3499999999999996
1737,FAST-LTS-MOEA-QR,500,6,0.1,0.4,129.643553261597,19,9.5587739944458,0.9999926962705148,0.010980460719951415,0.01451681432014899,False,True,253,50,0.2,20,30,25,8.0,30,18.8
1738,MMEA-QR,500,6,0.1,0.4,125.34351197017128,40,2.469712018966675,0.9999958595418932,0.17886840875862706,0.17898420593619302,False,True,253,50,0.2,20,30,20,20.0,30,10.0
1739,MOEA-QR,500,6,0.1,0.4,130.46922538686943,40,9.191115379333496,0.9999953182183878,0.007953988331705915,0.010513168751815663,False,True,253,50,0.2,20,30,29,20.0,30,2.0
1740,FAST-LTS,500,6,0.1,0.4,2197.609157677793,19,0.044360000640153885,0.9981651203702264,0.8600779963803225,0.8708670024096171,False,True,253,50,0.2,10,15,12,9.5,15,4.449999999999999
1741,FAST-LTS-MMEA-QR,500,6,0.1,0.4,6180.253216904975,11,2.2774479389190674,0.999858555586177,0.2811672278509861,0.28400489304404825,False,True,253,50,0.2,8,30,11,5.5,30,7.05
1742,FAST-LTS-MOEA-QR,500,6,0.1,0.4,6383.150983512252,2,8.834399223327637,0.9995152757400796,0.5947765853206497,0.5989088125176726,False,True,253,50,0.2,20,30,20,8.0,30,1.7999999999999998
1743,MMEA-QR,500,6,0.1,0.4,5986.629103625754,40,2.109661102294922,0.9992749347752768,0.2657285505773003,0.2792898443597989,False,True,253,50,0.2,20,30,23,20.0,30,2.0
1744,MOEA-QR,500,6,0.1,0.4,5463.740182147425,40,8.610587120056152,0.9994707525605568,0.12148557716156005,0.14546021916633362,False,True,253,50,0.2,20,30,21,20.0,30,8.0
1745,FAST-LTS,500,6,0.1,0.4,1746.2843739059203,15,0.045747000724077225,0.999560521760132,1.1009605761790635,1.1033404695383668,False,True,253,50,0.2,8,12,11,7.5,12,1.25
1746,FAST-LTS-MMEA-QR,500,6,0.1,0.4,5400.074250478602,27,2.2175331115722656,0.9998717210666532,0.3257886543802797,0.3279912651106618,False,True,253,50,0.2,8,30,27,13.5,30,13.85
1747,FAST-LTS-MOEA-QR,500,6,0.1,0.4,4708.363528082486,14,8.739068031311035,0.9997308953303968,0.1065251952254061,0.1193658071924453,False,True,253,50,0.2,20,30,24,8.0,30,13.8
1748,MMEA-QR,500,6,0.1,0.4,5285.1603851098525,40,2.1012890338897705,0.9996370872326312,0.33984544233809943,0.35688496061424,False,True,253,50,0.2,20,30,22,20.0,30,4.0
1749,MOEA-QR,500,6,0.1,0.4,5169.65218462485,40,8.67385196685791,0.999767844596441,0.3751944583218433,0.37838638797232377,False,True,253,50,0.2,20,30,24,20.0,30,8.0
1750,FAST-LTS,20,3,0.3,0.4,10.916291137642135,5,0.0023789999831933533,0.9999680079673914,0.6033832496242273,0.6040984981456828,False,True,12,50,0.2,3,4,3,2.5,4,0.75
1751,FAST-LTS-MMEA-QR,20,3,0.3,0.4,10.9162911376421,2,0.006641000043600798,0.9999680079673916,0.6033832496242286,0.6040984981456842,False,True,12,50,0.2,2,5,2,1.0,5,3.1
1752,FAST-LTS-MOEA-QR,20,3,0.3,0.4,10.9162911376421,1,0.0085659995675087,0.9999680079673916,0.6033832496242286,0.6040984981456842,False,True,12,50,0.2,2,3,2,0.7999999999999998,3,0.28000000000000014
1753,MMEA-QR,20,3,0.3,0.4,10.916291137642107,5,0.0066349999979138366,0.9999680079673916,0.60338324962423,0.6040984981456854,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
1754,MOEA-QR,20,3,0.3,0.4,10.916291137642105,6,0.008960000239312649,0.9999680079673914,0.6033832496242293,0.6040984981456847,False,True,12,50,0.2,3,5,3,3.0,5,1.2999999999999998
1755,FAST-LTS,20,3,0.3,0.4,103.67413684346121,7,0.0005190000047150534,0.999997445920666,0.07194407547574833,0.07226851246275039,False,True,12,50,0.2,4,6,5,3.5,6,1.85
1756,FAST-LTS-MMEA-QR,20,3,0.3,0.4,103.67413684346116,3,0.00673400005325675,0.999997445920666,0.0719440754757491,0.07226851246275115,False,True,12,50,0.2,2,5,3,1.5,5,2.65
1757,FAST-LTS-MOEA-QR,20,3,0.3,0.4,103.67413684346116,2,0.00828499998897314,0.999997445920666,0.07194407547574166,0.07226851246274378,False,True,12,50,0.2,3,5,4,1.1999999999999993,5,1.9200000000000006
1758,MMEA-QR,20,3,0.3,0.4,103.67413684346116,6,0.0064050001092255116,0.9999974459206656,0.07194407547574266,0.07226851246274474,False,True,12,50,0.2,3,5,3,3.0,5,1.2999999999999998
1759,MOEA-QR,20,3,0.3,0.4,103.67413684346116,5,0.00975400023162365,0.9999974459206656,0.07194407547574255,0.07226851246274463,False,True,12,50,0.2,3,4,3,2.5,4,0.75
1760,FAST-LTS,20,3,0.3,0.4,91.3721172848282,5,0.0004870000047958456,0.9978414064915232,2.8762848863368333,2.9302970928923653,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
1761,FAST-LTS-MMEA-QR,20,3,0.3,0.4,91.3721172848282,3,0.005772999953478575,0.9978414064915232,2.8762848863368315,2.9302970928923635,False,True,12,50,0.2,1,4,3,1.5,4,1.65
1762,FAST-LTS-MOEA-QR,20,3,0.3,0.4,91.3721172848282,2,0.007184000220149756,0.9978414064915232,2.8762848863368307,2.930297092892363,False,True,12,50,0.2,3,4,3,1.0,4,1.1
1763,MMEA-QR,20,3,0.3,0.4,91.3721172848282,5,0.0054660001769661895,0.9978414064915232,2.8762848863368315,2.9302970928923635,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
1764,MOEA-QR,20,3,0.3,0.4,91.3721172848282,5,0.007437999825924634,0.9978414064915232,2.8762848863368307,2.9302970928923635,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
1765,FAST-LTS,20,3,0.3,0.4,1.5981350786720387,5,0.0005760000058216974,0.9998989110260388,0.12673529649116302,0.12893299677393036,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
1766,FAST-LTS-MMEA-QR,20,3,0.3,0.4,1.5981350786720359,3,0.006616999860852957,0.9998989110260388,0.12673529649116466,0.12893299677393194,False,True,12,50,0.2,1,4,3,1.5,4,0.6499999999999999
