,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
19,MOEA-QR,20,2,0.1,0.0,79.40484446348754,5,0.007197000086307526,0.9953238908596307,1.440923666508062,1.4468439494723984,False,True,12,50,0.2
20,FAST-LTS,20,2,0.1,0.0,28.488573857302512,6,0.0004220000046188943,0.9952215286883308,4.318088692407598,4.321740182956487,False,True,12,50,0.2
21,FAST-LTS-MMEA-QR,20,2,0.1,0.0,28.488573857302438,5,0.005016999784857035,0.995221528688331,4.318088692407594,4.321740182956483,False,True,12,50,0.2
22,FAST-LTS-MOEA-QR,20,2,0.1,0.0,28.48857385730244,5,0.0067889997735619545,0.9952215286883308,4.318088692407595,4.321740182956484,False,True,12,50,0.2
23,MMEA-QR,20,2,0.1,0.0,28.488573857302434,5,0.005671999882906675,0.9952215286883308,4.318088692407595,4.321740182956484,False,True,12,50,0.2
24,MOEA-QR,20,2,0.1,0.0,28.48857385730244,4,0.007393000181764364,0.995221528688331,4.318088692407594,4.321740182956483,False,True,12,50,0.2
25,FAST-LTS,20,2,0.1,0.0,1.4260093427732394,3,0.0004589999916788656,0.9998529237570296,0.28741083314254995,0.2887245347013821,False,True,12,50,0.2
26,FAST-LTS-MMEA-QR,20,2,0.1,0.0,1.4260093427732323,6,0.006173999980092049,0.9998529237570296,0.28741083314254573,0.2887245347013779,False,True,12,50,0.2
27,FAST-LTS-MOEA-QR,20,2,0.1,0.0,1.4260093427732328,5,0.00894199963659048,0.9998529237570296,0.2874108331425455,0.28872453470137766,False,True,12,50,0.2
28,MMEA-QR,20,2,0.1,0.0,1.4260093427732352,5,0.005650999955832958,0.9998529237570296,0.28741083314254884,0.288724534701381,False,True,12,50,0.2
29,MOEA-QR,20,2,0.1,0.0,1.4260093427732312,5,0.006634999997913837,0.9998529237570296,0.2874108331425453,0.28872453470137743,False,True,12,50,0.2
30,FAST-LTS,20,2,0.1,0.0,4.996471030810476,5,0.0004279999957361724,0.9999641755012366,0.6149300897177132,0.6150660238500382,False,True,12,50,0.2
31,FAST-LTS-MMEA-QR,20,2,0.1,0.0,4.996471030810449,5,0.004815000109374523,0.9999641755012365,0.6149300897177068,0.6150660238500317,False,True,12,50,0.2
32,FAST-LTS-MOEA-QR,20,2,0.1,0.0,4.99647103081045,7,0.00598399993032217,0.9999641755012365,0.6149300897177101,0.6150660238500351,False,True,12,50,0.2
33,MMEA-QR,20,2,0.1,0.0,4.99647103081045,5,0.004970999900251627,0.9999641755012365,0.6149300897177101,0.6150660238500351,False,True,12,50,0.2
34,MOEA-QR,20,2,0.1,0.0,4.996471030810445,4,0.006577000021934509,0.9999641755012365,0.6149300897177106,0.6150660238500355,False,True,12,50,0.2
