,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
1132,RBSA,20,2,0.3,1.0,3.170423274893595,672,0.0419359989464283,0.9991854692398998,0.27423500901569986,0.28051716164640833,False,True,12,1000,0.2
1133,RANDOM,20,2,0.3,1.0,6.6049070165666475,0,0.002472999971359968,0.9999991735825824,0.07707357357185995,0.07709635234396604,False,True,12,1000,0.2
1134,MMEA-QR,20,2,0.3,1.0,3.02992838281905,7,0.00017600000137463212,0.9966029742158239,0.6931858807515712,0.7038745239450447,False,True,12,1000,0.2
1135,FAST-LTS,20,2,0.3,1.0,3.295321374451655,6,0.0010110000148415565,0.9999982392827557,0.2135234630619487,0.21354379558217926,False,True,12,1000,0.2
1136,RBSA,20,2,0.3,1.0,109.61337156300455,707,0.04101099818944931,0.9990539769228308,5.710297381910411,5.712104945556808,False,True,12,1000,0.2
1137,RANDOM,20,2,0.3,1.0,247.32203558073644,0,0.002428000094369054,0.9978105667079559,3.374483461171314,3.3778385462665566,False,True,12,1000,0.2
1138,MMEA-QR,20,2,0.3,1.0,109.61337156300465,6,0.00015199999324977398,0.9990539769228308,5.71029738191041,5.712104945556807,False,True,12,1000,0.2
1139,FAST-LTS,20,2,0.3,1.0,109.6133715630046,4,0.0009779999818420038,0.9990539769228308,5.710297381910409,5.712104945556806,False,True,12,1000,0.2
1140,RBSA,20,2,0.3,1.0,112.65231070020172,658,0.04118100181221962,-0.7868926421491638,2.237742358341415,3.0821627957606856,False,True,12,1000,0.2
1141,RANDOM,20,2,0.3,1.0,351.1986533459209,0,0.002386000007390976,0.9991256498660015,2.323940468450185,2.325017243116996,False,True,12,1000,0.2
1142,MMEA-QR,20,2,0.3,1.0,112.65231070020172,2,8.099999831756577e-05,-0.786892642149164,2.237742358341416,3.082162795760686,False,True,12,1000,0.2
1143,FAST-LTS,20,2,0.3,1.0,112.65231070020172,3,0.0009880000070552342,-0.7868926421491635,2.2377423583414164,3.0821627957606865,False,True,12,1000,0.2
1144,RBSA,20,2,0.3,1.0,94.4802231435755,707,0.041297998279333115,-0.9396021636274159,4.667718015527902,5.021974948348839,False,True,12,1000,0.2
1145,RANDOM,20,2,0.3,1.0,133.14590773334402,0,0.0024480000138282776,0.9446471030495514,2.5149639941844306,2.5676023681545463,False,True,12,1000,0.2
1146,MMEA-QR,20,2,0.3,1.0,94.4802231435755,5,0.0001340000017080456,-0.9396021636274159,4.6677180155279,5.021974948348836,False,True,12,1000,0.2
1147,FAST-LTS,20,2,0.3,1.0,94.4802231435755,4,0.0009579999859852251,-0.9396021636274161,4.667718015527901,5.021974948348838,False,True,12,1000,0.2
1148,RBSA,20,2,0.3,1.0,47.02623638007834,630,0.040415000170469284,0.8960759021458536,6.232354379331021,6.266456548711404,False,True,12,1000,0.2
1149,RANDOM,20,2,0.3,1.0,98.95696251570108,0,0.002435999922454357,0.9899137142699386,2.8824394202237724,2.890585760228235,False,True,12,1000,0.2
1150,MMEA-QR,20,2,0.3,1.0,171.39934465377354,7,0.00021699999342672527,0.10359599831646094,4.837797155064538,5.089887733899817,False,True,12,1000,0.2
1151,FAST-LTS,20,2,0.3,1.0,47.02623638007834,3,0.0010099999817612115,0.8960759021458536,6.232354379331021,6.266456548711404,False,True,12,1000,0.2
1152,RBSA,20,2,0.3,1.0,61.26867201994202,826,0.04147699847817421,0.9998975569717586,1.6446718080739997,1.6449190262689768,False,True,12,1000,0.2
1153,RANDOM,20,2,0.3,1.0,153.91248053591897,0,0.0024019998963922262,0.999771953004008,0.670549500634363,0.6711922415897169,False,True,12,1000,0.2
